Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.53850555419922,72.59888386623527,71.29229630932706,71.54588227171874,135480400
2020-01-03,71.83326721191406,72.59403229564492,71.60866171136072,71.76564381270238,146322800
2020-01-06,72.4056625366211,72.44430553740506,70.7029972337209,70.95417305361724,118387200
2020-01-07,72.06514739990234,72.67134068922641,71.84536944211234,72.41533721540509,108872000
2020-01-08,73.22441864013672,73.52631026770732,71.76809372355218,71.76809372355218,132079200
2020-01-09,74.77975463867188,74.97296230565743,73.9513658951312,74.20253438813242,170108400
2020-01-10,74.94881439208984,75.51396196419593,74.44647000292952,75.01402769601006,140644800
2020-01-13,76.550048828125,76.57661912211044,75.14685723047293,75.26520375211625,121532000
2020-01-14,75.51634979248047,76.69735294372674,75.39318306552475,76.4872376273451,161954400
2020-01-15,75.1927490234375,76.19744522367158,74.7604381579808,75.3159231634684,121923600
2020-01-16,76.1346435546875,76.24574496948411,75.3738782015038,75.73614811924845,108829200
2020-01-17,76.97752380371094,76.97993392443253,76.07667669301796,76.38339587903954,137816400
2020-01-21,76.45585632324219,77.04755940221253,76.31819199284013,76.60559336877427,110843200
2020-01-22,76.728759765625,77.2818197819215,76.63456606365708,76.94128522699003,101832400
2020-01-23,77.0982894897461,77.17798563171488,76.23366779231166,76.78190767247501,104472000
2020-01-24,76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600
2020-01-27,74.61553192138672,75.29659377968004,73.63257108817264,74.88360812840847,161940000
2020-01-28,76.72635650634766,76.89782887589077,75.39803343183497,75.4970547636558,162234000
2020-01-29,78.3324203491211,79.1801343637196,77.6175430675433,78.35899064388555,216229200
2020-01-30,78.2188949584961,78.27202816821715,76.98234829996913,77.41465908040864,126743200
2020-01-31,74.75079345703125,77.93151989975665,74.4561468983136,77.50887157038966,199588400
2020-02-03,74.54548645019531,75.71199229580401,72.99014040911702,73.49248476536589,173788400
2020-02-04,77.00651550292969,77.197313069489,75.74581580955447,76.15155637582674,136616400
2020-02-05,77.63444519042969,78.43385354098093,77.03066200298008,78.13437206813377,118826800
2020-02-06,78.54253387451172,78.544951365906,77.34704752803583,77.90494263047137,105425600
2020-02-07,77.47493743896484,78.29076771071938,76.9835021703116,78.04141892687844,117684000
2020-02-10,77.84288787841797,77.84288787841797,75.97882681770385,76.05871208817942,109348800
2020-02-11,77.37322998046875,78.41178269464413,77.1553537002358,78.33915973053,94323200
2020-02-12,79.21068572998047,79.21552479911539,77.8235277760248,77.8235277760248,113730400
2020-02-13,78.64663696289062,78.97345520254548,78.27866815708352,78.48201992249481,94747600
2020-02-14,78.66598510742188,78.91533382442148,78.1576021480164,78.61514163995746,80113600
2020-02-18,77.22557067871094,77.40713550005586,76.16280771158402,76.34437253292894,152531200
2020-02-19,78.34402465820312,78.57400976696101,77.46767279180867,77.46767279180867,93984000
2020-02-20,77.54029846191406,78.59337615293093,77.03433859303921,78.10436411115981,100566000
2020-02-21,75.78517150878906,77.57661741601534,75.16785392447004,77.13359500928858,129554000
2020-02-24,72.18534088134766,73.63785968182607,70.01867143670297,71.96262546916086,222195200
2020-02-25,69.7402572631836,73.23840922009403,69.26819314550896,72.8559159017165,230673600
2020-02-26,70.84661102294922,72.11272604677254,69.35778056176747,69.36504286107494,198054800
2020-02-27,66.21546936035156,69.23671028706407,66.07990156760394,68.05048840657712,320605600
2020-02-28,66.1767578125,67.3992989911438,62.0637108077199,62.27917132496963,426510000
2020-03-02,72.33785247802734,72.97454103190371,67.23225006740749,68.33616370279057,341397200
2020-03-03,70.04045867919922,73.59428625555064,69.18830958377835,73.51440097180128,319475600
2020-03-04,73.28925323486328,73.44903118653338,70.9628058782761,71.7641114774827,219178400
2020-03-05,70.9119644165039,72.51699133415363,70.54641152199336,71.54138326049582,187572800
2020-03-06,69.9702377319336,70.40357449268282,68.08196660960988,68.26837049351515,226176800
2020-03-09,64.43616485595703,67.32183170470427,63.66874742529087,63.8503122943744,286744800
2020-03-10,69.07694244384766,69.34323899980069,65.21082178320125,67.0918381105168,285290000
2020-03-11,66.67788696289062,68.07956995144926,65.8136363324186,67.15238185093062,255598800
2020-03-12,60.093116760253906,65.36333966293708,60.03743791262368,61.95960486263178,418474000
2020-03-13,67.29278564453125,67.76485728131117,61.23578029525555,64.12629743078345,370732000
2020-03-16,58.635765075683594,62.7197589173465,58.10075235573811,58.572820229839216,322423600
2020-03-17,61.2139778137207,62.36388471818226,57.71340624039025,59.91881387267281,324056000
2020-03-18,59.7154655456543,60.52161388588787,57.40353915642415,58.04507047998226,300233600
2020-03-19,59.257930755615234,61.20914727493639,58.732603515332364,59.88977664258158,271857200
2020-03-20,55.495906829833984,60.96463960776638,55.195718260351654,59.838935242667574,401693200
2020-03-23,54.31694030761719,55.31675861475192,51.47000473892812,55.21508274022157,336752800
2020-03-24,59.76631164550781,59.962401104198456,56.72086326951332,57.21956082962695,287531200
2020-03-25,59.43706130981445,62.51882052847167,59.14171556978869,60.703172304024285,303602000
2020-03-26,62.56483840942383,62.622936807859325,59.640432917217446,59.67916764547244,252087200
2020-03-27,59.97450256347656,61.94266302499107,59.80746231049624,61.187354431284916,204216800
2020-03-30,61.68605422973633,61.85793725267391,60.376365510763634,60.700764195325654,167976400
2020-03-31,61.56016540527344,63.54527367451045,61.005789027148815,61.87730177654374,197002000
2020-04-01,58.321044921875,60.2117394199471,57.89013135585365,59.674307229705484,176218400
2020-04-02,59.29423904418945,59.34749836465027,57.35028492920916,58.18306300120028,165934000
2020-04-03,58.44209289550781,59.48064217824671,57.85140134510496,58.77859292542469,129880000
2020-04-06,63.540435791015625,63.6953672894155,60.371524799496335,60.73949357260216,201820400
2020-04-07,62.804508209228516,65.77491473173436,62.700412771929706,65.55703093919948,202887200
2020-04-08,64.41193389892578,64.726643281739,63.240236542570365,63.60578200367688,168895200
2020-04-09,64.87674713134766,65.38029109822737,64.0802880085237,65.04863383479294,161834800
2020-04-13,66.15013122558594,66.25907309767462,64.35384627795469,64.95422341312944,131022800
2020-04-14,69.49092102050781,69.78142775121215,67.31214270390448,67.78421429432576,194994800
2020-04-15,68.85664367675781,69.3166064306414,67.93671816899065,68.36520850392205,131154400
2020-04-16,69.40375518798828,69.7693080402414,68.3531010291873,69.57079540604494,157125200
2020-04-17,68.46205139160156,69.46671616167201,67.02405715552152,68.91959837030558,215250000
2020-04-20,67.0409927368164,68.1909032698828,67.02162907324754,67.28792562164121,130015200
2020-04-21,64.96873474121094,67.11846344497374,64.25700003826536,66.8836393098129,180991600
2020-04-22,66.84009552001953,67.27584833913318,65.89595948667669,66.23729500850857,116862400
2020-04-23,66.58104705810547,68.20786856663918,66.54231233315308,66.78439882318551,124814400
2020-04-24,68.50321197509766,68.51289750296907,67.05795538482593,67.10637563628991,126161200
2020-04-27,68.55162811279297,68.88328539052851,67.77210939351758,68.21996344716476,117087600
2020-04-28,67.44043731689453,69.19556400981887,67.34845067537042,69.01399917951635,112004800
2020-04-29,69.65554809570312,70.12519647509855,68.72593686507632,68.92928862916094,137280800
2020-04-30,71.12499237060547,71.30171812959233,69.80562571918327,70.19538133730589,183064000
2020-05-01,69.97993469238281,72.38385146458401,69.2004159964793,69.29724910279991,240616800
2020-05-04,70.9700698852539,71.09837541785019,69.31419932975179,70.00414724151751,133568000
2020-05-05,72.03524017333984,72.86801811424831,71.2847707351164,71.43002407604543,147751200
2020-05-06,72.77845001220703,73.41029209502018,72.35237549978946,72.73729206539267,142333600
2020-05-07,73.53134155273438,73.87753081736858,73.10285116327836,73.40545924879912,115215200
2020-05-08,75.2815170288086,75.33492052212418,73.86390577921274,74.1916086969269,133838400
2020-05-11,76.46609497070312,76.96128289724894,74.57998648849065,74.78874828363153,145946400
2020-05-12,75.59222412109375,77.60212591001033,75.47085322222706,77.15062231412254,162301200
2020-05-13,74.67950439453125,76.69426553932014,73.60173033825646,75.77184236444022,200622400
2020-05-14,75.13832092285156,75.19900639068176,73.19395616304585,73.91732960642369,158929200
2020-05-15,74.6940689086914,74.74019043820076,72.87350561087283,72.90749301488646,166348400
2020-05-18,76.45394134521484,76.82776572341807,75.32762345021945,76.01943893594208,135178400
2020-05-19,76.01214599609375,77.31809023118156,75.98058838713202,76.47092399623682,101729600
2020-05-20,77.49047088623047,77.56086067764168,76.83263524563915,76.87147482429302,111504800
2020-05-21,76.9127426147461,77.89342158394717,76.67485297832786,77.3521046904153,102688800
2020-05-22,77.40792083740234,77.49045214412094,76.54861296126474,76.65056034866812,81803200
2020-05-26,76.88361358642578,78.70659948141834,76.82778030514494,78.52697291852887,125522000
2020-05-27,77.21859741210938,77.36424398683408,76.00003613296077,76.74040313452282,112945200
2020-05-28,77.25257873535156,78.51240928442117,76.6165963973256,76.8933182003932,133560800
2020-05-29,77.17733001708984,77.95652913635216,76.82049926768882,77.49532118877264,153532400
2020-06-01,78.12642669677734,78.24779756086807,77.00010152222838,77.13118412965547,80791200
2020-06-02,78.48812103271484,78.5123966906775,77.41762896521124,77.85942075330303,87642800
2020-06-03,78.92019653320312,79.18236177148373,78.2356630206697,78.80853740247117,104491200
2020-06-04,78.24053192138672,79.04157682827717,77.86670750782196,78.74300918140095,87560400
2020-06-05,80.46891021728516,80.5295956699377,78.46143811037989,78.49056594239036,137250400
2020-06-08,80.94468688964844,80.97867430093662,79.4542559362644,80.16548770561455,95654400
2020-06-09,83.5007553100586,83.89399586857483,80.5927130816821,80.62427070317408,147712400
2020-06-10,85.64901733398438,86.11750723835495,84.01051015507953,84.44987222819896,166651600
